begin,open,close,high,low,value,volume,end,return,volatility,volume_zscore
2026-06-30 09:20:00,2350.1,2348.75,2355.25,2348.5,0,3789,2026-06-30 09:29:59,-0.000787033097932377,0.0021716121645113736,-0.25873889926076077
2026-06-30 09:30:00,2349.0,2340.75,2349.0,2338.5,0,10277,2026-06-30 09:39:59,-0.003406067056945239,0.0022205319460504246,0.957510736712823
2026-06-30 09:40:00,2340.8,2353.05,2356.5,2340.15,0,7871,2026-06-30 09:49:59,0.0052547260493431835,0.0023275613329526955,0.4812871155204269
2026-06-30 09:50:00,2352.85,2348.45,2352.85,2345.75,0,4452,2026-06-30 09:59:59,-0.0019549095854318743,0.0022766342151574613,-0.1626549961781938
2026-06-30 10:00:00,2348.3,2349.65,2350.2,2341.95,0,7531,2026-06-30 10:09:59,0.0005109753241501203,0.002251415937436638,0.406732171260739
2026-06-30 10:10:00,2349.5,2358.05,2361.1,2345.7,0,11174,2026-06-30 10:19:59,0.0035750005319941103,0.0022723703979072377,1.0685622708570628
2026-06-30 10:20:00,2358.0,2361.25,2365.0,2356.85,0,12631,2026-06-30 10:29:59,0.0013570534975932969,0.0022632364324566465,1.2896911112044924
2026-06-30 10:30:00,2361.4,2359.7,2364.15,2358.05,0,7857,2026-06-30 10:39:59,-0.0006564319745897551,0.0022670639317864754,0.38894408059349034
2026-06-30 10:40:00,2359.5,2361.2,2361.2,2355.7,0,4440,2026-06-30 10:49:59,0.0006356740263593341,0.002084784135667954,-0.19510311868078395
2026-06-30 10:50:00,2361.3,2354.7,2361.3,2354.7,0,3775,2026-06-30 10:59:59,-0.00275283754023381,0.0021144195009294028,-0.31076710087425913
2026-06-30 11:00:00,2354.7,2354.55,2360.35,2353.85,0,4023,2026-06-30 11:09:59,-6.370238246899973e-05,0.002113003401302025,-0.2123509524691854
2026-06-30 11:10:00,2354.0,2353.25,2354.45,2346.4,0,8957,2026-06-30 11:19:59,-0.0005521224862501395,0.0020876425686118328,1.0023895894193764
2026-06-30 11:20:00,2353.55,2351.8,2358.45,2350.5,0,4467,2026-06-30 11:29:59,-0.0006161691278019354,0.0020297818206114933,-0.06912738812728612
2026-06-30 11:30:00,2351.5,2350.0,2353.25,2348.15,0,3879,2026-06-30 11:39:59,-0.0007653712050345041,0.0020320298909284086,-0.22309588227271682
2026-06-30 11:40:00,2350.2,2359.9,2360.7,2348.15,0,5315,2026-06-30 11:49:59,0.004212765957446907,0.002069056293953095,0.14411774679346467
2026-06-30 11:50:00,2359.9,2360.95,2363.15,2357.5,0,4582,2026-06-30 11:59:59,0.0004449341073773372,0.0017714980022574328,0.012563479138740346
2026-06-30 12:00:00,2361.0,2358.25,2362.25,2356.6,0,3877,2026-06-30 12:09:59,-0.0011436074461550483,0.0017688163561898158,-0.16027839116886772
2026-06-30 12:10:00,2358.35,2383.4,2384.7,2357.6,0,26845,2026-06-30 12:19:59,0.010664687798155548,0.002315572583261039,4.523197852700687
2026-06-30 12:20:00,2383.8,2382.4,2385.5,2377.15,0,17648,2026-06-30 12:29:59,-0.00041956868339343423,0.0023085475736128735,2.4101508461935843
2026-06-30 12:30:00,2382.45,2396.9,2397.35,2379.7,0,20215,2026-06-30 12:39:59,0.006086299529885819,0.0024405753302796773,2.6350098024566546
2026-06-30 12:40:00,2396.9,2400.3,2400.3,2390.8,0,16028,2026-06-30 12:49:59,0.0014184988944052623,0.0024442689810831027,1.776612222576756
